Row Labels,Sum of SE
0.05200000983709-0.05300000983709,206.4742188
0.05300000983709-0.05400000983709,207.740779
0.05400000983709-0.05500000983709,204.5151482
0.05500000983709-0.05600000983709,206.9542915
0.05600000983709-0.05700000983709,210.8782253
0.05700000983709-0.05800000983709,205.1766541
0.05800000983709-0.05900000983709,207.6073671
0.05900000983709-0.06000000983709,215.5603931
0.06000000983709-0.06100000983709,215.0569768
0.06100000983709-0.06200000983709,212.8976595
0.06200000983709-0.06300000983709,215.6756021
0.06300000983709-0.06400000983709,211.3166552
0.06400000983709-0.06500000983709,215.8329549
0.06500000983709-0.06600000983709,205.9182038
0.06600000983709-0.06700000983709,204.2385745
0.06700000983709-0.06800000983709,202.6227872
0.06800000983709-0.06900000983709,213.9336725
0.06900000983709-0.07000000983709,213.6618893
0.07000000983709-0.07100000983709,210.9275906
0.07100000983709-0.07200000983709,205.2634691
0.07200000983709-0.07300000983709,214.2871141
0.07300000983709-0.07400000983709,207.9725083
0.07400000983709-0.07500000983709,199.0721394
0.07500000983709-0.07600000983709,200.2924274
0.07600000983709-0.07700000983709,190.4076704
0.07700000983709-0.07800000983709,187.634427
0.07800000983709-0.07900000983709,188.9488764
0.07900000983709-0.08000000983709,187.6346956
0.08000000983709-0.08100000983709,205.3603643
0.08100000983709-0.08200000983709,199.4933659
0.08200000983709-0.08300000983709,212.4148586
0.08300000983709-0.08400000983709,213.7374336
0.08400000983709-0.08500000983709,217.0693846
0.08500000983709-0.08600000983709,205.59964
0.08600000983709-0.08700000983709,204.1578287
0.08700000983709-0.08800000983709,204.7669834
0.08800000983709-0.08900000983709,215.31269
0.08900000983709-0.09000000983709,207.6498304
0.09000000983709-0.09100000983709,222.3698945
0.09100000983709-0.09200000983709,222.2402211
0.09200000983709-0.09300000983709,225.2278837
0.09300000983709-0.09400000983709,208.7614017
0.09400000983709-0.09500000983709,195.989255
0.09500000983709-0.09600000983709,192.2293879
0.09600000983709-0.09700000983709,195.5891054
0.09700000983709-0.09800000983709,199.2831825
0.09800000983709-0.09900000983709,188.9194817
0.09900000983709-0.10000000983709,192.3357023
0.10000000983709-0.10100000983709,193.464355
0.10100000983709-0.10200000983709,203.549561
0.10200000983709-0.10300000983709,210.118701
0.10300000983709-0.10400000983709,223.049229
0.10400000983709-0.10500000983709,216.207463
0.10500000983709-0.10600000983709,210.252783
0.10600000983709-0.10700000983709,194.352326
0.10700000983709-0.10800000983709,179.518923
0.10800000983709-0.10900000983709,174.254013
0.10900000983709-0.11000000983709,163.928778
0.11000000983709-0.11100000983709,160.679036
0.11100000983709-0.11200000983709,163.134639
0.11200000983709-0.11300000983709,164.361195
0.11300000983709-0.11400000983709,158.662448
0.11400000983709-0.11500000983709,154.331403
0.11500000983709-0.11600000983709,160.313645
0.11600000983709-0.11700000983709,151.682976
0.11700000983709-0.11800000983709,154.038582
0.11800000983709-0.11900000983709,141.025262
0.11900000983709-0.12000000983709,129.766279
0.12000000983709-0.12100000983709,131.230649
0.12100000983709-0.12200000983709,129.629752
0.12200000983709-0.12300000983709,131.433339
0.12300000983709-0.12400000983709,128.685172
0.12400000983709-0.12500000983709,126.752419
0.12500000983709-0.12600000983709,124.47631
0.12600000983709-0.12700000983709,117.631658
0.12700000983709-0.12800000983709,117.551433
0.12800000983709-0.12900000983709,119.634271
0.12900000983709-0.13000000983709,113.818445
0.13000000983709-0.13100000983709,105.440974
0.13100000983709-0.13200000983709,97.318375
0.13200000983709-0.13300000983709,102.424143
0.13300000983709-0.13400000983709,103.339175
0.13400000983709-0.13500000983709,103.958561
0.13500000983709-0.13600000983709,98.234852
0.13600000983709-0.13700000983709,98.412723
0.13700000983709-0.13800000983709,100.77505
0.13800000983709-0.13900000983709,102.201269
0.13900000983709-0.14000000983709,105.316271
0.14000000983709-0.14100000983709,105.382352
0.14100000983709-0.14200000983709,104.709661
0.14200000983709-0.14300000983709,109.575126
0.14300000983709-0.14400000983709,104.610802
0.14400000983709-0.14500000983709,105.62456
0.14500000983709-0.14600000983709,104.7539
0.14600000983709-0.14700000983709,106.505657
0.14700000983709-0.14800000983709,105.302018
0.14800000983709-0.14900000983709,104.992334
0.14900000983709-0.15000000983709,101.958859
0.15000000983709-0.15100000983709,103.255227
0.15100000983709-0.15200000983709,99.843793
0.15200000983709-0.15300000983709,106.289443
0.15300000983709-0.15400000983709,104.523651
0.15400000983709-0.15500000983709,94.547045
0.15500000983709-0.15600000983709,106.051531
0.15600000983709-0.15700000983709,104.390517
0.15700000983709-0.15800000983709,98.746682
0.15800000983709-0.15900000983709,104.767226
0.15900000983709-0.16000000983709,96.018458
